place_id,place_name,year,review_count,avg_star_rating,avg_sentiment_score,avg_spend_amount,spend_sample_count,positive_ratio,neutral_ratio,negative_ratio
rebirth,Rebirth,2016,2,3.0,2.25,,0,0.5,0.5,0.0
rebirth,Rebirth,2017,17,4.235294117647059,0.9411764705882353,,0,0.5882352941176471,0.35294117647058826,0.058823529411764705
rebirth,Rebirth,2018,23,4.260869565217392,1.3043478260869565,,0,0.7391304347826086,0.21739130434782608,0.043478260869565216
rebirth,Rebirth,2019,39,4.128205128205129,1.4230769230769231,,0,0.717948717948718,0.1794871794871795,0.10256410256410256
rebirth,Rebirth,2020,33,4.0606060606060606,0.9696969696969697,,0,0.5757575757575758,0.36363636363636365,0.06060606060606061
rebirth,Rebirth,2021,41,4.341463414634147,0.9634146341463414,,0,0.6097560975609756,0.2682926829268293,0.12195121951219512
rebirth,Rebirth,2022,31,4.0,1.1774193548387097,,0,0.7419354838709677,0.12903225806451613,0.12903225806451613
rebirth,Rebirth,2023,53,4.245283018867925,1.4245283018867925,338.1190476190476,21,0.6037735849056604,0.2830188679245283,0.11320754716981132
rebirth,Rebirth,2024,51,4.137254901960785,1.0980392156862746,324.0,25,0.5686274509803921,0.35294117647058826,0.0784313725490196
rebirth,Rebirth,2025,68,3.323529411764706,0.8455882352941176,320.1125,40,0.47058823529411764,0.36764705882352944,0.16176470588235295
rebirth,Rebirth,2026,2,5.0,0.5,,0,0.5,0.5,0.0
xuekewu,雪可屋,2014,2,4.0,1.25,,0,1.0,0.0,0.0
xuekewu,雪可屋,2015,2,4.0,0.5,,0,0.5,0.5,0.0
xuekewu,雪可屋,2016,2,4.0,0.0,,0,0.0,1.0,0.0
xuekewu,雪可屋,2017,24,4.083333333333333,0.6666666666666666,,0,0.5416666666666666,0.4583333333333333,0.0
xuekewu,雪可屋,2018,35,4.257142857142857,0.4857142857142857,,0,0.4,0.6,0.0
xuekewu,雪可屋,2019,32,4.21875,0.796875,,0,0.53125,0.46875,0.0
xuekewu,雪可屋,2020,36,4.25,0.5416666666666666,,0,0.4444444444444444,0.4444444444444444,0.1111111111111111
xuekewu,雪可屋,2021,32,4.40625,1.09375,,0,0.65625,0.28125,0.0625
xuekewu,雪可屋,2022,32,4.375,0.703125,,0,0.46875,0.4375,0.09375
xuekewu,雪可屋,2023,47,4.361702127659575,1.1808510638297873,277.8888888888889,18,0.6382978723404256,0.2765957446808511,0.0851063829787234
xuekewu,雪可屋,2024,41,4.195121951219512,1.024390243902439,262.0,21,0.5609756097560976,0.3902439024390244,0.04878048780487805
xuekewu,雪可屋,2025,60,4.1,0.85,263.0740740740741,27,0.4666666666666667,0.45,0.08333333333333333
xuekewu,雪可屋,2026,7,4.571428571428571,1.5,200.25,2,0.5714285714285714,0.2857142857142857,0.14285714285714285
yangtiaozao,羊跳蚤,2022,29,4.379310344827586,0.7586206896551724,,0,0.41379310344827586,0.5862068965517241,0.0
yangtiaozao,羊跳蚤,2023,25,4.2,0.74,186.0,7,0.52,0.44,0.04
yangtiaozao,羊跳蚤,2024,42,4.571428571428571,0.8452380952380952,146.53846153846155,13,0.5,0.47619047619047616,0.023809523809523808
yangtiaozao,羊跳蚤,2025,51,4.215686274509804,0.6666666666666666,239.34782608695653,23,0.39215686274509803,0.47058823529411764,0.13725490196078433
yangtiaozao,羊跳蚤,2026,9,2.5555555555555554,0.5,300.0,2,0.3333333333333333,0.6666666666666666,0.0
